,Unnamed: 0,Name,Id,transf_Name,Text,Classes,Co_auth
158,183,Laurent Toutain,1466156,laurenttoutain,"A Novel Approach for Generic Home Emergency Management and Remote MonitoringSDN-based security management of multiple WoT Smart SpacesMobilit‚ r‚seau robuste pour service de t‚l‚expertise v‚t‚rinaire par lunettes connect‚esIntegrated Management of Energy\, Wellbeing and Health in the Next Generation of Smart HomesCross-domain identity and discovery framework for web calling services",0,"69294,1536368"
159,184,Jean-Marc Menaud,1466322,jeanmarcmenaud,Data-driven Interpolation of Sea Level Anomalies using Analog Data Assimilation,0,71657
160,186,Mario Sdholt,1520220,mariosudholt,Osculatory Surfaces Extraction applied to Monitoring of Sub-marine Sand Materials,0,
161,187,H‚lŠne Coullon,1536368,helenecoullon,"Integrated Management of Energy\, Wellbeing and Health in the Next Generation of Smart Homes",11,1466156
162,189,Rapha‰l Le Bidan,1562145,raphaellebidan,"CUBAIR\, Confort des Usagers des Bƒtiments tertiaires par l?usage de techniques de traitement de l?AIR",0,"11652377,11652375"
163,190,Caroline G. L. Cao,1672342,cao,Catalytic cracking of ethylbenzene as tar surrogate using pyrolysis chars from wastes,0,
164,191,Luiz Anet Neto,1701088,luizanetneto,Intellectualization of control: cyber-physical supply chain risk analyticsOptimal Control Algorithms and Their Analysis for Short-Term Scheduling in Manufacturing Systems,0,
165,192,P. Tran,1716034,tran,Edge detector- based automatic segmentation of the skin layers and application to moisturization in high- resolution 3 Tesla magnetic resonance imaging,0,
166,193,Dalila Tamzalit,11119427,dalilatamzalit,Precoded MIMO Systems with Non-Binary LDPC Codes and Many-to-One Mapping,0,112072
167,194,M. H. Lee,11183586,lee,Management of acute central retinal artery occlusion: Intravenous thrombolysis is feasible and safe,0,700103
168,196,Christophe Laot,11358603,christophelaot,The impact of renovation measures on building environmental performance: An emergy approachThe impact of climate change on building heat demand in different climate types,0,
169,197,Rolland Fleury,11365978,rollandfleury,Ambiguity of objective image quality metrics: A new methodology for performance evaluation,0,1413838
170,198,Michel Ney,11365991,michelney,The Role of Structure and Textural Information in Image Utility and Quality Assessment Tasks,0,
171,199,Patrice Pajusco,11367952,patricepajusco,Cooperative localization and tracking in wireless sensor networks,0,
172,200,Guillaume Moreau,11369425,guillaumemoreau,Submicron gap reduction of micro-resonator based on porous silica ridge waveguides manufactured by standard photolithographic process,0,
173,201,C‚cile Bothorel,11370143,cecilebothorel,From Best Effort to Deterministic Packet Delivery for Wireless Industrial IoT Networks,0,
174,202,Laurent Brisson,11372755,laurentbrisson,Multiscale brain MRI super-resolution using deep 3D convolutional networks,0,
175,204,Fabien Dagnat,11375692,fabiendagnat,Strong Coupling of Magnons to Microwave Photons in Three-Dimensional Printed Resonators,0,
176,205,Antoine Beugnard,11378394,antoinebeugnard,A unified multi-soft-body dynamic model for underwater soft robots,11,
177,207,Ioannis Kanellos,11444531,ioanniskanellos,Investigation on equinoctial asymmetry observed in Niamey station center for orbit determination in Europe TEC variation during solar cycle 23,0,
178,208,Panagiotis Papadakis,11459056,panagiotispapadakis,User activity measurement in rating-based online-to-offline (O2O) service recommendation,0,
179,210,Serge Garlatti,11460355,sergegarlatti,"quipe ® Decision Aid and Information Discovery ¯ (DECIDE)Breaking Arabic: the creative inventiveness of Uyghur script reformsNe vous moquez pas de l'oiseau moqueur : un aper‡u de la logique combinatoireGestion de la r‚p‚tition dans les correspondances graphŠme-phonŠme et graphŠme-morphŠmeTeX as a Path\, a Talk Given at Donald Knuth's 80th Birthday Celebration SymposiumQualit‚ et diff‚renciation des biens informationnels. Une ‚tude exploratoire sur l'information d'actualit‚Distant Event Prediction Based on Sequential Rules",0,"439065,642000"
180,213,Philippe Tanguy,11521963,philippetanguy,Process capability index for Poisson regression profile based on the S pmk index,0,
181,214,S‚bastien Houcke,11565254,sebastienhoucke,Energy Optimization of Quantized Min-Sum Decoders for Protograph-Based LDPC Codes,3,
182,216,Fran‡ois Gall‚e,11602935,francoisgallee,Utilisation d'infrastructures g‚od‚siques mondiales pour la r‚alisation nationale,0,
183,217,S. Ruiz,11628082,ruiz,"Reinforcement Learning based\, Staircase Negotiation Learning in Simulation and Transfer to Reality for Articulated Tracked RobotsLearning-based modelling of physical interaction for assistive robots",0,
184,218,Denys I. Grekov,11652374,grekov,Impact ‚nerg‚tique d'un couplage de proc‚d‚s - adsorption-photocatalyse -pour traiter l'air int‚rieur,0,"11652375,11652377"
185,219,Andrey G. Kalinichev,11652375,kalinichev,"Impact ‚nerg‚tique d'un couplage de proc‚d‚s - adsorption-photocatalyse -pour traiter l'air int‚rieurCUBAIR\, Confort des Usagers des Bƒtiments tertiaires par l?usage de techniques de traitement de l?AIR",0,"11652374,11652377,11652377,1562145"
186,220,Pascaline Pr‚,11652377,pascalinepre,"Impact ‚nerg‚tique d'un couplage de proc‚d‚s - adsorption-photocatalyse -pour traiter l'air int‚rieurCUBAIR\, Confort des Usagers des Bƒtiments tertiaires par l?usage de techniques de traitement de l?AIR",0,"11652374,11652375,11652375,1562145"
187,222,Herv‚ Grall,11666178,hervegrall,A resilient adaptive sliding mode observer for sensorless AC salient pole machine drives based on an improved HF injection method,0,
188,223,St‚phanie Tillement,11671973,stephanietillement,Gas adsorptive desulfurization of thiophene by spent coffee grounds-derived carbon optimized by response surface methodology: Isotherms and kinetics evaluation,0,11673950
189,224,Geoffrey Leuridan,11673950,geoffreyleuridan,Activation chimique du marc de caf‚ par la m‚thodologie des surfaces de r‚ponse.Kinetic Study of Lignocellulosic Biomasses Pyrolysis Using Thermogravimetric AnalysisGas adsorptive desulfurization of thiophene by spent coffee grounds-derived carbon optimized by response surface methodology: Isotherms and kinetics evaluation,0,11671973
190,225,B. Lescop,11697373,lescop,O49. A comparison of two model fitting methods for transferring mesh correspondences: Implications to scapular bone using statistical shape modelling,0,11697375
191,226,F. Gallee,11697375,gallee,O49. A comparison of two model fitting methods for transferring mesh correspondences: Implications to scapular bone using statistical shape modellingA multidisciplinary approach to optimizing long-term functional prognosis of a girl with quadriceps fibrosis,0,11697373
192,227,Christophe Sintes,11732790,christophesintes,Machine Learning at the service of Meta-heuristics for solving Combinatorial Optimization Problems: A state-of-the-artHub-and-spoke network design under congestion: A learning based metaheuristic,0,
193,228,Fran‡ois Galle,11739398,francoisgallee,Precise proximal femur fracture classification for interactive training and surgical planning,0,101573
194,229,Charlotte Langlais,11747107,charlottelanglais,On the optimization of resources for short frame synchronization,0,
195,230,F. Gall‚e,11783466,gallee,Electromagnetic Integral Equations: Insights in Conditioning and Preconditioning,0,
196,231,D. Thierry,11786126,thierry,A MILP model and memetic algorithm for the Hub Location Routing problem with distinct collection and delivery tours,0,
197,233,Aur‚lien Bonvard,11867348,aurelienbonvard,Energetic valorization of used tires by pyrolysis: effect of catalysts on biofuel,0,
198,237,Haddad S.,12256119,faridahaddadi,A New Hybrid Possibilistic-Probabilistic Decision-Making Scheme for Classification,0,
199,239,Audrey Villot,12334594,audreyvillot,BALAdIN: truthfulness in collaborative access networks with distributed ledgers,0,12334595
200,240,Claire Gerente,12334595,clairegerente,BALAdIN: truthfulness in collaborative access networks with distributed ledgers,0,12334594
201,241,Daniel Stoenescu,12337553,danielstoenescu,Dimensioning an FPGA for Real-Time Implementation of State of the Art Neural Network-Based HPA Predistorter,0,
202,242,Emmanuel Boutillon,11346359,emmanuelboutillon,"High throughput,Turbo codes,High-radix decoding,Soft-ouput Viterbi algorithm,Soft-input soft-ouput de- coding,Convolutional codes High throughput,Turbo codes,High-radix decoding,Soft-ouput Viterbi algorithm,Soft-input soft-ouput de- coding,Convolutional codes, This paper proposes a new soft-input soft-output decoding algorithm particularly suited for low-complexity high-radix turbo decoding\, called local soft-output Viterbi algorithm (local SOVA). The local SOVA uses the forward and backward state metric recursions just as the conventional Max-Log MAP (MLM) algorithm does\, and produces soft outputs using the SOVA update rules. The proposed local SOVA exhibits a lower computational complexity than the MLM algorithm when employed for high-radix decoding in order to increase throughput\, while having the same error correction performance even when used in a turbo decoding process. Furthermore\, with some simplifications\, it offers various trade-offs between error correction performance and computational complexity. Actually\, employing the local SOVA algorithm for radix-8 decoding of the LTE turbo code reduces the complexity by 33% without any performance degradation and by 36% with a slight penalty of only 0.05 dB. Moreover\, the local SOVA algorithm opens the door for the practical implementation of turbo decoders for radix-16 and higher. ",3,
203,243,Jean-Philippe Diguet,693792,jpdiguet,"A great deal of effort has recently been devoted to extending the usage of memristor technology from memory to computing. Memristor-based logic design is an emerging concept that targets efficient computing systems. Several logic families have evolved\, each with different attributes. Memristor Ratioed Logic (MRL) has been recently introduced as a hybrid memristor?CMOS logic family. MRL requires an efficient design strategy that takes into consideration the implementation phase. This paper presents a novel MRL-based crossbar design: X-MRL. The proposed structure combines the density and scalability attributes of memristive crossbar arrays and the opportunity of their implementation at the top of CMOS layer. The evaluation of the proposed approach is performed through the design of an X-MRL-based full adder. The design is presented with its layout and corresponding simulation results using the Cadence Virtuoso toolset and CMOS 65nm process. The comparison with a pure CMOS implementation is promising in terms of the area\, as our approach exhibits a 44.79% area reduction. Moreover\, the combined Energy.Delay metric demonstrates a significant improvement (between ž5.7 and ž31) with respect to the available literature. CMOS,Crossbar,Full adder,Logic design,Memristor LDPC,Courbe elliptiques In this paper, a new framework for the construction of low density parity check codes is exposed. Parameters of the new codes are estimated, performance simulations are reported and compared to some classical constructions.",4,
204,244,Marc Sevaux,12166752,marcsevaux,Turbocodes ,5,
205,245,Jean-Marc Le Caillec,942911,jmlecaillec,"Applications based on synergistic integration of optical imagery and LiDAR data are receiving a growing interest from the remote sensing community. However\, a misaligned integration between these datasets may fail to fully profit the potential of both sensors. In this regard\, an optimum fusion of optical imagery and LiDAR data requires an accurate registration. This is a complex problem since a versatile solution is still missing\, especially when considering the context where data are collected at different times\, from different platforms\, under different acquisition configurations. This paper presents a coarse-to-fine registration method of aerial/satellite optical imagery with airborne LiDAR data acquired in such context. Firstly\, a coarse registration involves extracting and matching of buildings from LiDAR data and optical imagery. Then\, a Mutual Information-based fine registration is carried out. It involves a super-resolution approach applied to LiDAR data\, and a local approach of transformation model estimation. The proposed method succeeds at overcoming the challenges associated with the aforementioned difficult context. Considering the experimented airborne LiDAR (2011) and orthorectified aerial imagery (2016) datasets\, their spatial shift is reduced by 48.15% after the proposed coarse registration. Moreover\, the incompatibility of size and spatial resolution is addressed by the mentioned super-resolution. Finally\, a high accuracy of dataset alignment is also achieved\, highlighted by a 40-cm error based on a check-point assessment and a 64-cm error based on a check-pair-line assessment. These promising results enable further Automatic extraction of buildings in urban and residential scenes has become a subject of growing interest in the domain of photogrammetry and remote sensing\, particularly since mid-1990s. Active contour model\, colloquially known as snake model\, has been studied to extract buildings from aerial and satellite imagery. However\, this task is still very challenging due to the complexity of building size\, shape\, and its surrounding environment. This complexity leads to a major obstacle for carrying out a reliable large-scale building extraction\, since the involved prior information and assumptions on building such as shape\, size\, and color cannot be generalized over large areas. This paper presents an efficient snake model to overcome such challenge\, called Super-Resolution-based Snake Model (SRSM). The SRSM operates on high-resolution LiDAR-based elevation images -- called z-images -- generated by a super-resolution process applied to LiDAR data. The involved balloon force model is also improved to shrink or inflate adaptively\, instead of inflating the snake continuously. This method is applicable for a large scale such as city scale and even larger\, while having a high level of automation and not requiring any prior knowledge nor training data from the urban scenes (hence unsupervised). It achieves high overall accuracy when tested on various datasets. For instance\, the proposed SRSM yields an average area-based Quality of 86.57% and object-based Quality of 81.60% on the ISPRS Vaihingen benchmark datasets. Compared to other methods using this benchmark dataset\, this level of accuracy is highly desirable even for a supervised method. Similarly desirable outcomes are obtained when carrying out the proposed SRSM on the whole City of Quebec (total area of 656 km2)\, yielding an area-based Quality of 62.37% and an object-based Quality of 63.21%. research for a complete versatile fusion methodology between airborne LiDAR and optical imagery data in this challenging context. In this paper, we propose a new algorithm to estimate all the parameters of a Self Exited Threshold AutoRegressive (SETAR) model from an observed time series. The aim of this algorithm is to relax all the hypotheses concerning the SETAR model for instance\, the knowledge (or assumption) of the number of regimes\, the switching variables\, as well as of the switching function. For this\, we reverse the usual framework of SETAR model identification of the previous papers\, by first identifying the AR models using array clustering (instead of the switching variables and function) and second the switching conditions (instead of the AR models). The proposed algorithm is a pipeline of well-known algorithms in image/data processing allowing us to deal with the statistical non-stationarity of the observed time series. We pay a special attention on the results of each step over the possible discrepancies over the following step. Since we do not assume any SETAR model property\, asymptotical properties of the identification results are difficult to derive. Thus\, we validate our approach on several experiment sets. In order to assess the performance of our algorithm\, we introduce global metrics and ancillary metrics to validate each step of the proposed algorithm.",12,"777619,11588785"
206,246,Ali Khenchaf,11588785,alikhenchaf,"LiDAR, optical",12,"942911,777619"
207,247,Thierry Duval,1509217,thierryduval,"Social insects and more specifically honey bees have very complex\, powerful and interesting task allocation abilities. They are able to distribute their workforce effectively without any central control\, using simple mechanisms based on stimuli (dances\, pheromones)\, interactions\, thresholds and feedback loops. Self-organisational concepts and some of those mechanisms\, like pheromones\, are invisible to the human eye. In order to help the user grasp the complexity of the task allocation\, we propose to make them visible in a virtual\, immersive and interactive environment. First\, this implies that the system must be able to simulate and display in real-time around 30 000 bees interacting with each other\, emitting clouds of pheromones. Secondly\, this implies also that the user should be able to alter in real-time the environment of the bees (e.g. by manipulating the frame of the hive) and visualise the effects on the organisation\, potentially days later. Finally\, we would like to give to biologists and beekeepers some domain-related\, intuitive and natural ways of interacting with the hive. We describe in this article these issues in more details\, and how we plan to tackle them. This is a ""work in progress""\, therefore a lot of work has still to be done\, mostly surveying and modelling the interactions. Collaborative Virtual Environments,Virtual Reality,Augmented Reality,Mixed Reality,3D User Interaction",8,"1156887,102516,102516"
208,248,Jean-Louis de Bougrenet de la Tocnaye,280416,jldebougrenet,"In this work\, it is reported the fabrication of highly stretchable electrodes on a polydimethylsiloxane substrate. A laser ablation technique is used to design lithium nickel manganese oxide micropillars supported on serpentine Al interconnects. Morphological\, mechanical\, and chemical analyses have been investigated by scanning electron microscopy\, optical microscopy\, and energy dispersive X-Ray spectroscopy. We show that unlike compact and continuous electrode thin-films\, vertical micropillar structures supported on Al serpentines can be stretched up to 70% without structural damage\, which opens a new alternative for the fabrication and development of truly stretchable devices such as stretchable micro-batteries. (C) 2019 Author(s).",9,
